"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"BETR701","O3",2012,"day","P50",39.375,"BETR701","BE","Belgium","GENT",3.728047,51.058865,5
"BETR710","O3",2012,"day","P50",40.583,"BETR710","BE","Belgium","DESTELBERGEN",3.774011,51.061813,6
"BETR740","O3",2012,"day","P50",39.167,"BETR740","BE","Belgium","GENT",3.807481,51.150673,5
"BETR502","O3",2012,"day","P50",30.688,"BETR502","BE","Belgium","CHARLEROI",4.457419,50.429554,135
"BG0070A","O3",2012,"day","P50",96.873,"BG0070A","BG","Bulgaria","Sofia",23.243864,42.637192,1321
"BG0056A","O3",2012,"day","P50",64.805,"BG0056A","BG","Bulgaria","Burgas",27.420967,42.456622,51
"BG0055A","O3",2012,"day","P50",55.25,"BG0055A","BG","Bulgaria","Stara Zagora",25.637389,42.432356,208
"BG0058A","O3",2012,"day","P50",65.194,"BG0058A","BG","Bulgaria","BLAGOEVGRAD",23.097822,42.001933,414
"BG0057A","O3",2012,"day","P50",65.583,"BG0057A","BG","Bulgaria","GORNA ORIAHOVICA",25.691211,43.126475,172
"BG0051A","O3",2012,"day","P50",49.29,"BG0051A","BG","Bulgaria","Plovdiv",24.765239,42.142889,166
"BG0040A","O3",2012,"day","P50",51.867,"BG0040A","BG","Bulgaria","Sofia",23.310972,42.732292,534
"BG0071A","O3",2012,"day","P50",71.214,"BG0071A","BG","Bulgaria","NESEBAR",27.720956,42.659758,27
"BG0073A","O3",2012,"day","P50",55.804,"BG0073A","BG","Bulgaria","Sofia",23.268403,42.669797,615
"BG0043A","O3",2012,"day","P50",65.396,"BG0043A","BG","Bulgaria","Vratza",23.557414,43.207978,363
"BG0041A","O3",2012,"day","P50",57.06,"BG0041A","BG","Bulgaria","Dimitrovgad",25.59345,42.056383,103
"BG0038A","O3",2012,"day","P50",57.721,"BG0038A","BG","Bulgaria","Shumen",26.938439,43.268206,212
"BG0045A","O3",2012,"day","P50",50.05,"BG0045A","BG","Bulgaria","Ruse",25.964086,43.851367,41
"BG0044A","O3",2012,"day","P50",57.02,"BG0044A","BG","Bulgaria","Burgas",27.375144,42.518892,6
"BG0052A","O3",2012,"day","P50",40.191,"BG0052A","BG","Bulgaria","Sofia",23.400164,42.666508,548
"BG0013A","O3",2012,"day","P50",34.576,"BG0013A","BG","Bulgaria","Devnia",27.587239,43.223044,20
"BG0050A","O3",2012,"day","P50",47.423,"BG0050A","BG","Bulgaria","Sofia",23.296786,42.680558,581
"BG0053R","O3",2012,"day","P50",86.641,"BG0053R","BG","Bulgaria","",24.738078,41.694342,1720
"BG0012A","O3",2012,"day","P50",45.728,"BG0012A","BG","Bulgaria","Varna",27.914994,43.220181,60
"CH0045A","O3",2012,"day","P50",58.383,"CH0045A","CH","Switzerland","",6.221283,46.278103,375
"CH0051A","O3",2012,"day","P50",54.308,"CH0051A","CH","Switzerland","",6.005189,46.162552,427
"CH0008A","O3",2012,"day","P50",49.225,"CH0008A","CH","Switzerland","BASEL",7.58327,47.541084,316
"CH0017A","O3",2012,"day","P50",42.642,"CH0017A","CH","Switzerland","BASEL",7.582075,47.565911,260
"CH0031A","O3",2012,"day","P50",34.713,"CH0031A","CH","Switzerland","BERN",7.440867,46.950996,536
"CH0020A","O3",2012,"day","P50",42.05,"CH0020A","CH","Switzerland","BERN",7.449575,46.94915,533
"CH0004R","O3",2012,"day","P50",76.367,"CH0004R","CH","Switzerland","",6.979203,47.049469,1136
"CH0005A","O3",2012,"day","P50",46.925,"CH0005A","CH","Switzerland","ZÜRICH",8.613414,47.402946,432
"CH0022A","O3",2012,"day","P50",46.242,"CH0022A","CH","Switzerland","LUZERN",8.300661,47.067689,482
"CH0037A","O3",2012,"day","P50",58.921,"CH0037A","CH","Switzerland","LAUSANNE",6.662928,46.542286,710
"CH0049A","O3",2012,"day","P50",43.5,"CH0049A","CH","Switzerland","GENEVE",6.132222,46.198875,374
"CH0048A","O3",2012,"day","P50",46.162,"CH0048A","CH","Switzerland","GENEVE",6.1513,46.216125,376
"CH0041A","O3",2012,"day","P50",51.183,"CH0041A","CH","Switzerland","BERN",7.478586,46.976353,550
"CH0028A","O3",2012,"day","P50",46.354,"CH0028A","CH","Switzerland","LAUSANNE",6.639694,46.522022,530
"CH0043A","O3",2012,"day","P50",49.633,"CH0043A","CH","Switzerland","LUGANO",8.967522,46.02586,305
"CH0011A","O3",2012,"day","P50",50.021,"CH0011A","CH","Switzerland","LUGANO",8.957167,46.011108,280
"CH0016A","O3",2012,"day","P50",65.967,"CH0016A","CH","Switzerland","",8.364387,47.478249,689
"CH0033A","O3",2012,"day","P50",50.983,"CH0033A","CH","Switzerland","",8.933942,46.160367,203
"CH0050A","O3",2012,"day","P50",54.225,"CH0050A","CH","Switzerland","GENEVE",6.074183,46.231056,439
"CH0044A","O3",2012,"day","P50",33.771,"CH0044A","CH","Switzerland","ZÜRICH",8.57012,47.438732,430
"CH0002R","O3",2012,"day","P50",57.688,"CH0002R","CH","Switzerland","",6.944469,46.813057,489
"CH0005R","O3",2012,"day","P50",78.704,"CH0005R","CH","Switzerland","",8.463339,47.06741,1031
